img_id,caption0,caption1,caption2,caption3,caption4
65588,He is intent on another bite of the sandwich.,A bearded man with long hair and glasses eating a sandwich,Man with glasses eating a sandwich while sitting on a bed.,A man is eating a large sandwich while in a room. ,A man leans down to take a bite from his sandwich.  
286773,Two women with plates of food on a bed.,A couple of women laying in bed having a snack together.,Two women laying down talking while they have coffee.,Two women lie on a bed drinking beverages.,two people eating and drinking in a bed
385082,Small work space with desk and large monitor in non office setting.,The hotel room is clean and ready for guests to use.,The cluttered room with large flat screen television. ,A desk and a bench with luggage on top of it and a tv above it.,some chairs are in front of a television 
172092,A young girl sitting on top of a bed next to a  wooden head board.,A little girl sitting on the edge of an unmade bed.,A young girl smiles while sitting on a blue bed.,A girl sitting in a bed in the day time.,a young girl is sitting on a wood bed 
180287,A medium sized furry cat enjoying the warmth of a laptop computer.,A cat sits on top of the keyboard of a laptop computer.,a fluffy cat is sitting on a laptop,A fluffy gray cat sitting on top of an open laptop computer.,Very pretty cat looking suspiciously to the left
270406,A Caucasian woman sitting on a bed in the room. ,A picture of a person laying on a bed.,A woman sitting on a bed with an odd look on her face.,A young lady is sitting on a bed and is posing for the camera. ,A woman sitting on the edge of the bed looking at the camera.
16458,A man in black jacket holding a white and blue surfboard.,A man holding a surfboard in a hotel room,a person holding a surf board in doors,A man in a room near a bed holds a blue and white surfboard.,A man holding his surfboard in his bedroom.
311370,A bedroom has yellow curtains and yellow striped walls.,A room with a large bed curtains and a dresser,A bedroom with matching yellow curtains and bedspread.,A large king sized bed in a hotel room.,The bedroom has a lamp on the nightstand beside the bed.
294990,A green computer chair in front of the computer desk near a bed. ,A room is shown with a bed and chairs.,A view of a modern apartment dwelling and it's furnishings.,A bedroom with an office including a bed and desk with key board and monitor. ,a room and with a desk and chair and large windows
516175,A living area with a bed and television and laptop on a desk.,An apartment room with desk and television and bed.,A photo of someone's room with a desk and computer and television.,The bedroom is clean but the laptop was left on. ,Bedroom with desk and TV and bookshelf dresser and window mounted air conditioner.
426077,A small bed sitting up against a wall next to a corner.,A plain twin sized metal bed in a white room.,A small bed in the corner of a room.,An empty bed with white sheets and a blue blanket.,a cot with a metal headboard with a blue blanket at the foot of the cot.
450653,A large brown and white dog laying on top of a red bed.,A mixed breed dog laying on the floor looking into the camera,A dog laying on the bed with his ears perked up.,A dog on a bed looking at something.,Dog laying on floor staring directly at flash camera.
73835,This is a room in an old looking building with a canopy bed and dresser. ,A room is shown with a bed and storage.,An empty room with a large bed curtain. ,A simple bedroom with a wooden bed two dressers and a window with a wooden frame.,A bedroom area with bed two dressers and a window.
237677,A woman laying on her stomach on a bed.,a person on a bed playing on a laptop,A woman laying on a bed looking at a laptop.,A person is laying on a bed looking at a laptop.,A woman relaxes on the bed with her laptop. 
335982,a black and white cat laying on the bed next to the pillow ,A cat is tucked into a bed with its head on a pillow.,A black and white cat laying in bed,A black and white cat laying inside of a bed.,a cat laying on a pillow underneath the covers in a bed
278639,A green and white quilt on an old metal bed.,Old iron beds and a mattress in an abandoned bedroom ,An antique metal bed with a floral mattress sits in a room with peeling wall paper. ,A picture of a bed that is in a room.,There is a bed with a mattress on it and a bed with just springs on it 
376947,A baby is lying down while a woman combs its hair.,A woman holding a tiny baby on top of a table.,A woman checks upon a baby in a bed.,Woman combing hair of baby laying down on table,A woman is combing a small baby's hair.
57466,This bed has white sheets and blankets and white curtains,The laptop computer is sitting at the foot of the unmade bed.,A computer that is sitting on a bed.,laptop computer sits on bed with white sheets,A person sleeping in bed with a laptop on the other side.
319613,a bed with two white pillows and a slatted wooden headboard.,A white walled bedroom includes mustard yellow accessories and monogrammed pillow cases.,Pillows with embroidered pillow cases and decorative pillows on a bed.,Two monogrammed pillows are stacked on a bed.,A bed is piled high with pillows next to a night stand and a lamp.
237697,Bed is made with the comforter and sheets pulled back.  ,A bed is only half way made with cow designed sheets. ,A bed with yellow linens that have sheep on them,A bed with yellow sheets with sheep with turned down covers.,The bed has yellow sheets with sheep on them
352389,Two women lounge on a bed while one pets a cat.,Two women lay in a bed with an orange cat.,Two girls who are laying in bed with a cat.,Two women lying undercovers with heads on pillows in bed with a cat sitting with eyes closed while one of the women pats its head.,Two girls are laying in bed with a couple of cats.
131208,a girl lays on a bed with her dog,A beautiful young woman laying on top of a bed next to a dog.,The woman is laying on her bed with her cat.,A woman wearing striped stockings laying in a bed with a cat.,A woman laying on top of a bed next to a small dog.
8332,a bed room with a bed with a canopy ,An antique bed is seen in a museum.,tall carved wooden bed roped off in a room,An ornate canopy bed in a stone walled room on display,A bed that has a very elaborate wooden frame on it.
123023,Man appears to be asleep on his bed with no shirt on,A man with no shirt is laying in bed.,Picture of a half naked man sleeping on a bed.,The man is sleeping on the bed in shorts. ,Man asleep in his underwear on the bed.
426128,A group of friend laying on top of a bed.,A group of people laying on a bed together,A group of people pose together on a bed.,a group of friends laying on a bed with some drinking beers ,A group of people laying on a bed holding drinks and posing.
467089,A bed with lamps nightstands chairs and a television.,A hotel room has the lights on at night. ,A bedroom with one bed a small television on a set of drawers and two chairs and a small table.,A hotel room is neatly made and displaying a tray on the bed.,A well lit hotel room with a bed and  TV and two chairs.
147609,A room with a four poster bed and quilt on it.,Small bed with an overhang sitting next to an open window. ,A bed has a star patterned quilt in a room with a window.,A beautiful canopy bed bathed in natural sunlight.,A canopy bed with a quilt on it 
434329,a close up of a cat laying on its back on a bed,A cat laying on its back on a bed.,a gray white and black cat is laying on its back,A cat laying on its back on a bedspread.,A cat laying on its back on a comforter.
540831,A boy in a hospital bed with two visitors.,A man laying in a hospital bed with a brown teddy bear.,Family in a hospital with a sick kid.,A man and a woman smile beside the bed of a boy in the hospital with stuffed animals.,A little boy laying down holding a stuffed animal.
82081,A large brown dog laying on top of a bed under a blanket.,The dog on the bed has blankets on him. ,An older beagle dog lying down covered with a colorful crocheted quilt.,a dog is all covered and is aging on the bed,Dog laying under a blanket on top of a blanket
557219,A woman looks at a laptop while two dogs lounge with her.,A woman is cuddling with her dog in her bed.,A woman laying in the bed with two dogs and her laptop. ,A woman lying in bed with two dogs and a laptop.,A woman lying in a bed with dogs and a laptop.
385188,A will lit bedroom with a neatly done bed.,Hotel room with queen sized bed arm chair sliding glass door and television atop wooden cabinet.,This the inside of a hotel room at night.,A bedroom looks large with a patio door and striped valance.,A clean room with a T.V. and drapes on the windows.
483494,Three suit cases one backpack and a pair of shoes.,A person lying on a bed with a backpack and suitcases on the floor,A person lies on a bed next to multiple black suitcases.,Luggage on the floor of a hotel room traveller relaxing on the bed,A person on a bed and some suitcases in a room.
426152,A woman is eating and drinking a glass of wine. ,A woman in a hotel room sits at a table with dirty dishes.,A woman with two plates of food in front of her drinks wine.,A woman is eating food and drinking wine. ,A woman holding a wine glass with three plates in front of her.
368811,A purple bear sitting on top of a bed while reading a book.,A purple bear sitting on a bed reading a book.,A violet bear with a book on its lap.,A purple teddy bear with an opened book.,a close up of a stuffed animal and a book
393394,The room has two identical twin beds inside of it.,A bed with white and yellow blankets on top of it.,An elegant bedroom with two twin beds and a vase of flowers.,Twin beds with pillows and a lamp and vase,Two beds with whit and tan bedding in a room.
254132,there is a small kitten that has fallen asleep on the bed,A cat laying on a bed with a blanket.,A kitten resting comfortably and cozy on a blanket.,A small tiger cat curled up in a blue blanket.,A cat is sleeping in a fluffy blanket. 
114869,Black and tan dog laying on a bed.,A black and brown dog laying on a pillow.,A dog lays on a pillow while posing for the picture. ,a close up of a dog laying on a pillow,A dog rests his head on a pillow
254134,This computer desk is cluttered with a variety of items.,A wooden desk with a lot of clutter on it and a desktop computer and monitor on the desk.,Many items are scattered around the computer. ,A wooden desk topped with a computer monitor.,Laptop on desk cluttered with notebooks and party items.
24762,Two dogs snuggled on a bed with blankets.,Two dogs are sleeping next to each other on the bed.,Two black and brown dogs curled up sleeping.,A couple of dogs sleeping with their owner in a soft comfy bed.,Two dogs curled up next to each other on a bed.
254138,A dog yawns on the edge of a bed with two people in the background.,A dog is laying on a bed with its mouth open.,a dog yawning while laying on a bed.,A dog laying on a bed yawning while two women sit on the bed also. ,A dog yawns while lying on the bed
172218,A bed sitting in the corner of a bedroom.,BLACK IRON BED WITH BLACK BEDSPREAD and a SIDE TABLE WITH LAMP,A made up bed with a lamp window and picture next to it.,A computer is set beside a bed with a grey cover.,An empty bed with gray sheets and a small lamp
524476,A couple of women kneeling down next to a cat with a blow dryer.,Two girls using a hair dryer on an animal.,A woman blow drying a cat on the floor.,Two women work together to use a blow dryer on a dog.,two women blow-drying a white furry animal after his bath
8383,A person sitting on a bed with a laptop.,A woman is working on a laptop while sitting on a bed. ,A woman sits on her bed with her laptop. ,A women sitting on her bed using a laptop computer.,A woman witting on a bed using a laptop computer.
221378,a woman laying on the bed smiling while using her laptop.,young female lays on bed stomach down attending laptop.,A smiling woman lays on a bed with a laptop.,A lady laying across a bed on a laptop.,A girl that is laying down while working on a computer.
557254,A sheep on a chair in water with words reading 10cc Look Hear?,A sheep sitting on a couch on the beach.,A sheep lies on a fainting couch next to incoming waves.,a sheep sitting on a couch on a beach near water,A sheep laying on top of a bronze figure.
508105,A bed sitting next to a keyboard on a white table.,A travel table is holding all the necessities for a home music studio.,A computer and a bed in a room together.,The bedroom has a desk with a laptop and keyboard. ,A computer with a keyboard next to a bed.
123083,A laptop computer sitting on top of a bed.,A lit up Mac Book sitting in the middle of the bed.,An Apple laptop is sitting on a bed. ,A mac book sits on a bed with white sheets.,The apple computer is sitting on the bed.
114894,A bedroom with bunk beds decorated in red white and black,A black painted bunk bed set with ladder in child's room.,A black bunk bed in a room with the name Palmer on the wall.,A bunk bed without any mattresses on it.,Bunk beds occupy one corner in a bedroom
344276,A view of a bed through a mirror over a desk.,Picture of a large bed with white bedspread reflected from a mirror.,a bed in the reflection of a mirror in a bed room,A book sitting on a wooden dresser under a mirror.,A table with decorative objects on it and a mirror that reflects a bed with colorful pillows
393432,A cat laying on top of a bed next to a window.,A cat is laying down in front of a window.,A cat lying near some pillows on a bed.,Kitten sitting on pillows near a bright window.,a black white and gray cat  a pillow and a white blanket 
434394,A bed in a room with no sheets. ,A bed has no sheets or pillow cases,A bare memory foam mattress and pillows sit in a room.,a white bed in a bedroom and two boxes on the floor,A unmade bed with comfort brand new pillows.
499930,A black dog laying on a dog bed on the floor.,A dog laying on a doggie bed on the floor.,A dog sleeping on a dog bed on the floor ,A black dog lays casually on a doggy pillow.,A black dog laying on his big dog bed.
311516,Remote device on edge of wooden table with glass.,The handheld machine is on a table next to batteries.,a close up of a remote control on a table ,A remote control thermostat and batteries on a table.,A small device is sitting on a wood table
155869,A bed sitting in a bedroom next to a  window.,An attic room with a wood floor and a bed.,Country furnishings include wood floors and walls in the bedroom.,A small bed is in an attic type room.,The bedroom has a wooden roof and floor.
360672,A made bed has white linen and pillows on it.,A bed is covered with a white down comforter.,A white bed with a large white comforter and two white pillows on top of it.,The comforter looks like it would keep it's owner nice and warm.,the bed has a thick blanket on top of it
24802,A trailer with a couple of single sized beds and a couch.,A picture of a apartment back in the day.,The narrow room has a bed a mirror and a couch in it.,The room is small and has a bed with pillows. ,The narrow room has several beds in it.
295154,a person sitting on a floor with a laptop,a male a laptop a green door a table and a chair,A young person setting on the floor reading a book in a yellow room with green trim.,A person sitting on the ground using his laptop.,a kid is on his laptop in his room
540922,A dog that is eating some food with a human.,A woman feeds a dog a mini carrot stick.,A woman feeding a white dog a small carrot.,A dog takes a carrot stick from its owner,a person gives their dog a baby carrot as a treat
295166,A room with cabinet and rug in it.,A room with cupboard carpet and a table ,An old looking cabinet in a living room with wood floors.,A couch and desk in a small room.,A vintage piece of furniture with a beautiful wood finish. 
352511,A bed sitting under a picture mounted to a wall.,A hotel room bed below a piece of artwork.,A bed with a busy print on the comforter.,A flower image is framed above a bed with a purple and green comforter.,The bedspread has a pastel colored iridescent glow.
246016,A baby with a screw driver in a white crib.,A child holds a toy in their bed.,A baby playing with a screwdriver in a crib,A photo of a baby playing in his crib.,A baby playing with a toy screwdriver in his bed. 
205059,A baby wrapped in a blanket laying on a blanket. ,A baby swaddled in a pink and white striped blanket in a pillow.,A baby sits on top of a blanket with a toy behind.,An infant wrapped in a blanket on a bed,A baby named Ellitott laying in his bed.
467206,An outdoor bed with a view of the river in the distance. ,A bed sitting next to a see through wall overlooking a lush green field and river.,A bed sits on a balcony in a scenic location.,Bed sitting on a patio outdoors overlooking a forrest and river. ,Outdoor bed on a deck overlooking forest and river.
131352,A bedroom with two beds a coffee table and mirror.,This room has two beds and a table that has a fruit salad on top of it.,A bedroom with brightly colored linens on a bed and day bed.,A bedroom with a glass table containing a tray of fruit.,A small bed next do a daybed and coffee table.
65816,Some beddings lays folded on a cot. ,A sleeping area with folded blankets and a mat.,a bed pallet with folded blankets at the head,A wood platform has some sheets and bedding folded up on it.,Bedding materials sit unused on a mostly empty shelf.
270623,A bedroom with a bed that has a large wooden frame with decorative carvings.,A dark room with a bed and antique bed frame.,An older colonial wooden bed with artistically designed posts and covering.,A bed sitting in a wooden room and wooden poles.,An antique wooden bed with intricate carvings in a wood paneled room.
278816,A person leaning over an unmade bed in a cluttered room,A man laughing in a room cluttered with cloths and stuff.,A person packing in a hotel room on the bed.,They have made a huge mess in the bedroom.,A man standing between two twin beds topped with two paintings..
442657,A room full of beds sitting next to each other.;,The beds in the hospital are prepared for the patients.,Three empty beds lined up in a large room. ,A hospital room with three beds and chairs.,A black and white photo of an empty hospital ward.
106786,a woman standing in a room next to a man sitting down.,A woman in bathroom and man in reflection on a bed.,A person sitting on a bed on one side of the wall and a person standing in a bathroom on the other side.,A man takes a photo in a mirror and a girl is in the bathroom,A photographer taking a self image with a woman in the bathroom.
41251,Looking down at an unmade bed on the floor of a room,An unmade bed with a blue comforter and a brown plaid blanket. ,A comforter and pillows on an unmade bed,a big bed all messy with blankets and pillows,There is a bed with two pillows on it. 
155937,An empty efficiency kitchen includes a table with chairs a refrigerator a coffee maker and a wide window.,A small kitchen with dark cabinets and a white dining set.,A kitchen with a white table and four chairs.,A white table in a wooden cabinet kitchen ,A small yet modern kitchen is revealed behind a dated sofa.
401703,A bedroom that has chairs in front of a television.,A giant TV mounted to the side of a wall over a  seating area.,A room that has two people sleeping in a bed together and another bed on the other side of the room and a person at a desk and computer.,a living room with a table chairs and a tv,A cluttered room with television chair table and large window.
532775,A man laying in bed with a cat on top of him.,A man sits on his bed with a cat on his lap. ,A man with glasses is sitting in his bed with his cat below.,A man sitting in bed with a laptop and a cat on the bed.,A man under the covers of a bed with a cat and laptop on it.
459056,A young guy is sitting on an unmade bed.,a close up of a person sitting on a bed,A young man sits on a bed that is made-up with lots of pillows.,a boy is sitting on the edge of a bed,A boy is sitting on a hospital bed.
65841,a bedroom with two similar beds in it,a hotel room with two beds and a table,A room with two beds two lamps two pictures and a telephone in it. ,A hotel room with two beds and two lamps,Hotel room containing two made beds and with tray on bed
164146,A bedroom with partially closed curtains and a ceiling fan.,A bed sitting in a room under a window.,A small bedroom with a bed and TV in it.,A small bedroom with a bed and a television set.,room with a bed television A/C unit and a towel hanging.  
532799,A person lying in bed during a sunny day.,A person enjoying a lazy day in bed with their bedroom curtains wide open.,The sun shines through a window onto a person in bed.,A person laying on a bed with their feet uncovered,Light shines in the window on a pair of legs on blankets.
147775,The woman is sitting in her suitcase. ,A woman attempting to zip herself into a suit case.,A woman is coming out of a suitcase on a bag. ,A woman with long red hair packing herself into a suitcase.,A young woman sitting in a suitcase on top of a bed.
352585,A baby sleeps sitting up while clutching a teddy bear.,A baby sleeping on someone's lap and holding a stuffed animal.,a baby boy wearing blue is sleeping and holding his stuffed animal,A child sleeping with a teddy bear on a bed.,A boy in blue pajamas holding a white teddy bear.
221515,A couple of beds pushed together in a  bedroom.,A couple of single sized beds with pillows a bench and chair with luggage.,A hotel suite with a twin size mattresses next to each other to make a double bed effect.,Two twin beds scooted next to each other.,Twin beds in a hotel room are pushed together to make a double.
164172,two stuffed bears in costumes sitting on a bed,A cop teddy bear sitting next to a jail bird teddy bear.,two teddy bears dressed up as a cop and a robber,Two teddy bears one dressed as a policeman and one as a jail person.,Two bears dressed up one as a policeman and one as an inmate.
254290,A bed topped with lots of blankets and pillows.,A bed that has red white a blue covers and pillows.,A bedroom pillow case and comfortable that has red one and blue on it.,Many bed items with the british flag sit on the ground. ,A big room with some very pretty bright colored items.
172371,A person lying down in a bed by a chair lamp and wall paintings.,A black and white photo of a man sleeping in a bed in an adobe-styled bedroom. ,An artistic image of a man sleeping in a bed. ,A man in a bed in a room decorated with modern art.,an older man sleeps in an old bedroom with pictures on the wall
459093,A small dark colored cat laying down with a pair of men's shoes placed on it's back paws.,The large cat is laying down with a human's shoes on it's feet.,A young gray cat is asleep on its side with gray suede boys shoes on its back paws. ,This gray kitten is wearing gray suede shoes.,A sleeping cat with shoes on its back feet.
303453,A bed that's made up sitting with a fresh towel on the end of it.,A hotel bedroom with stone walls a bed with plain white linen and a wall-mounted heating and air conditioning unit.,An unmade bed in a bedroom with stone walls.,A bed that has blankets and pillows on it.,A large bed in a room with cobble stone walls
74081,A woman sitting at a desk in a blue chair.,A woman working at a desk in a bedroom.,A woman sitting at a desk with a bed and mini fridge.,A woman studying at a desk in her dorm room,A lady sitting at desk in a bedroom reading a magazine.
106850,A dog laying on top of a bed next to another dog.,Two dogs sleeping on a bed covered with duvet ,A couple of dogs are sleeping in a bed,two black dogs sleeping on pillows on a bed,Two dogs are sleeping together on the bed.
516463,A small room features a small bed with a red white and green blanket while pictures hang on the papered wall.,A bed in a room near some museum like descriptions.,THERE IS A BED IN THE LIVING ROOM WITH A QUILT ON IT,A spindled bed sits inside of a wall papered bedroom,A Lincoln museum with room behind glass partition
164208,A man with a bald head and a beard laying in bed.,An older gentlemen reads in his hotel room,An old man reading a book in bed with the window open.,a man laying in bed reading at night,A person sitting in bed reading with the window wide open.
254325,This large bedroom has two king sized beds and a flat screen,A large room with two bed and a television.,A large hotel room with two full beds. ,There are two king size beds a desk and chair and a flat screen TV in this room.,The hotel room has two large beds a desk a flat screen tv and a lot of space.
196981,A small child in a diaper looking at a book.,a baby and a yellow curious George book,A baby is laying down reading a curious George book.,A baby holding a curious george book on her tummy.,Baby reading a large book while laying down. 
532857,A brown and white dog laying on top of a bed.,a dog that is laying down on a mattress ,A dog sleeping on a patterned blanket or pillow.,a brown black and white dog and red collar,A medium sized gold and white dog sleeping.
385403,A bed sits under a set of stairs. ,Some steps next to a bed in a room,A bed with a quilt in a bedroom.,A bed in a room that has a stone floor and open style stairs in front of the bed.,A large bed with a colorful quilt in a white bedroom.
369023,A hotel room with a bed a table and a dresser.,a tan and brown bedroom a bed chair and a lamp ,Bedroom area with a bed radiator television and nightstand.,Bedroom containing furniture tables and other bedroom accessories.,A typical hotel bedroom with a king bed.
164224,a white bed in a large hotel room,a picture of a modern bedroom in an a apartment and white pillows and sheets lamps a suitcase and a chair and ,a hotel room with a luxurious big bed and a mirror,a room with a bed,made and a bag besides the door
459137,This brand new mattress should be very comfortable.,A close up of a mattress with no sheet or covering.,there is a mattress in a room with a table next to it ,There is a mattress without any sheets on it.,It's a beauty rest white matteress in a bedroom.
328065,A bunk bed located in front of a window that lets in a lot of light.,A bunk bed in a room next to a window.,a window a white bunk bed and some shoes,Bunk beds against a window one with blue sheets one with white.,A plain bunk bed is in front of a window.
328064,Two little girls sitting on top of a bed under a pink umbrella.,A couple of kids laying in a bed with an umbrella.,Two small children one with a hat holding an umbrella sideways.,Two girls in green shirts sitting on bed next to an umbrella.,Two little girls playing with an umbrella on a bed
418185,A beautiful woman laying in bed reading a book.,A woman lying on a bed reading a book.,A woman reading a book in bed while propped up on a pillow.,A girl is lounging in a bed while reading a book.,A young woman reading a book in bed.
287119,A child sits on a woman's lap while eating from a plate. ,The lady is holding a baby eating dessert.,A woman holds a small boy while he eats a piece of a cake.,A woman holding a boy who's eating cake on a plate.,the woman is holding the child while it eats something. 
426388,An orange and red bed in a living area.,A bed made up with a bright orange comforter.,A large bed has orange pillows and an orange comforter. ,A big bed in a narrow room with bright orange bedding.,a big orange bed in the middle of a little bedroom 
221592,A bedroom with pink walls and pink sheets.,this room has a bed along with a dining room table,a room with a bed and a wooden capboard,a bed and table in a pink bedroom,A bedroom with a table bedroom and a armoire.
434585,Two twin beds pushed together with wooden head boards.,Two twin beds side by side with a end table.,A bedroom with fresh flowers and two twin beds next to each other.,Two single beds side by side in a hotel room.,a couple of small beds are in a room together
491932,A picture of a suitcase on top of a bed.,a close up of a dusty old luggage bag,a small old suitcase covered in various stickers,A dusty vintage suitcase covered with travel stickers.,A luggage case covered in stickers is shown. 
565663,A dog that is laying down under a blanket.,a dog laying in a bed covered in sheets ,a big black dog lying underneath covers ,a dog covered in blankest lays on a bed,a black dog laying on a bed under the sheets 
49573,A bedroom with a television sofa and poster on wall.,a person laying in a bed watching tv,A TV sitting at the end of a bed in a room.,someone laying under a sheet on a bed watching television ,Color monitor displayed in room with white sheeted bed.
74150,A view of a bed from across the room it has a TV tray on it.,a yellow bed in a small home bedroom,A small bed with a tray sitting on top of it.,A bed that has a tray with some cups on it.,The bedroom is decorated for a female and includes a breakfast tray.
401838,A bed and mattress store front with open doors,A store that sells beds and mattresses offers amazing price.,A bed and mattress store with beds inside.,A bed and mattress store has its doors open.,The Bed and Mattress Store with a sidewalk and tree outside it.
475567,There are two stuffed animals next to a baby crib,Two big stuffed animals are at the foot of a bed.,A stuffed giraffe and teddy bear next to an announcement.,Two stuffed animals are seated next to each other on a bed with a birth certificate behind them.,A blue stuffed animal sitting next to a brown teddy bear wearing a pink hat and shirt.
41392,A cat laying on top of a yellow and blue blanket covered bed.,The cat lies on the edge of the bed as another cat stands on the floor. ,A black cat and a calico cat in a bedroom.,one cat sleeping on the bed and another with glowing eyes standing next to it ,A cat is on the bed while another watches.
410033,a laptop is sitting on a wooden table ,A laptop computer sits open next to a keyboard.,An open laptop computer sitting next to a musical keyboard.,A laptop on a table with a keyboard and a guitar leaning against it.,A piano keyboard and notebook computer sit on a table near a guitar and other electronic equipment.
426418,The dog is laying on the bed resting. ,A brown and white dog laying on two pillows.,A dog sits on the floor looking away from the camera.,A family dog laying comfortably on a pet mat.,A dog is laying down on the floor.
278963,A person has some sandwiches on their lap.,a hamburger some ketchup and another sandwich on a persons lap,A person has two breakfast sandwiches sitting on their laps.,The food is done and ready to be eaten. ,A person is sitting in bed with half eaten food in their lap.
352690,A cat standing on top of a bed next to a window.,a black cat is on top of a bed,a black cat walks along the foreground in front of an unmade bed,A cat walks on the bed as light comes in through the shutters.,Black and white photograph of a cat on a bed.
426421,A woman laying on her stomach on a bed in front of a laptop.,a woman looking at a laptop on her bed ,a woman is laying down working on a laptop,A woman relaxes on her bed and uses her computer,a female in a red dress is on a bed with a laptop
532916,The bathroom is very beaten up and broken down.,A view through a peek hole at a bathroom.,A cell containing a bunk bed frame a sink and a toilet.,A small room with a bunk bed frame sink and toilet. ,A white toilet sitting next to a metal water fountain.
516535,A recreational area sits on a beach by the ocean.,A lawn chair sitting on top of a beach covered by an umbrella.,A sun umbrella and chaise lounge chairs on a beach,The blue and white umbrella is on the beach underneath chairs. ,A seat on the beach with umbrellas for the shade.
303546,A doll laying on a bed near a lamp and dresser. ,A doll is lying in her bed watching Lost.,A doll house bed room with a girl doll on bed.,A little girl doll sitting on top of a bed.,A doll lies in bed in her doll room.
369086,A living room with a brown wicker couch and ottoman.,A view of a straw living room couch and coffee table.,a living room with a couch a chair and a table,The sofa in the living room matches the table.,A couch and a table in a room.
65984,A woman is lounging on a bed in her bedroom. ,A pair of legs on a  bed with a mirror and television in the room.,Person in jeans and painted toe nails in a hotel room sitting on the bed. ,A person laying down on a bed in front of a lamp wearing a hat.,A person with painted toenails laying on a bed.
74177,Some kids lay on what appears to be a trampoline.,Three people laying down on a part of a boat.,A group of people relaxing on a  hanging bed.,Three siblings lie in a large hammock and watch the sun set.,A young mother and child laying on a outside circular tan mattress.
442819,This bed has a TV mounted at the foot board,A bed with a frame and mattress in a bedroom.,A bedroom with tables lamps and a bed.,The room is clean and ready to use by the guests.,The bed is black and has a white sheet on it 
557508,A ladder sitting up against a red wall in a room.,A view of a dog at the bottom of a ladder in a living room.,A room that has a red wall one one side with a fireplace and a window on the next wall with a ladder leaning against it.,A messy living room with drop cloths and a ladder propped against the wall.,The room  has a red wall with a ladder on it.
410054,A bedroom with a bed sink and a window.,a bedroom with yellow walls a white bed with a wooden head board next to a window and a small sink.,a bedroom with a small bed next to a window ,A yellow bedroom with a view of outside.,A small bed in a yellow room with a sink and a window.
451018,A couple of feet with legs laying on top of a bed.,A Green Eggs and Ham book is by a childs feet.,A person lays on a bed next to a children's book and kicks his feet.,a close up of a person laying in bed next to a book,some feet are resting on a pillow next to a children s book
401868,Clothing and personal items have been unpacked from a backpack. ,A bed in a bedroom  that has lots of things sitting on top of it.,a bed with a black bag pill bottle and many other items,A travel bag on a bed with various items scattered beside it.,A bed has many items and clothing on top of it
